familly;filename;time;date;Syscall found;Address found;Libraries;OS;CPU architecture;Entry point;Min/Max addresses;Stack executable;Binary position-independent;Total number of blocks;Total number of instr;Number of blocks visited;Number of instr visited;Number Address found;Number Syscall found;Binary position-independent:
nitol;a00230094724589962a5622853e9e015;16.866685152053833;2023-01-04 15:35:00;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 2, ""LoadLibraryA"": 9, ""GetProcAddress"": 9, ""GetModuleFileNameA"": 1, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'mfc42.dll', 'iphlpapi.dll', 'msvcrt.dll', 'kernel32.dll', 'shlwapi.dll', 'shell32.dll', 'ws2_32.dll', 'user32.dll', 'advapi32.dll'};windows;X86;4208982;4194304/4252415;False;;1285;6321;67;266;0.0;12.0;False
nitol;a00542556b3abc26b1c423a0055497f5;16.957972049713135;2023-01-04 15:35:17;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'mfc42.dll', 'iphlpapi.dll', 'msvcrt.dll', 'kernel32.dll', 'shlwapi.dll', 'shell32.dll', 'ws2_32.dll', 'user32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;1305;6406;52;234;0.0;11.0;False
nitol;00b2f45c7befbced2efaeb92a725bb3d;17.224785804748535;2023-01-04 15:35:34;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'mfc42.dll', 'iphlpapi.dll', 'msvcrt.dll', 'kernel32.dll', 'shlwapi.dll', 'shell32.dll', 'ws2_32.dll', 'user32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;1305;6406;52;234;0.0;11.0;False
nitol;a012461c2831483503a528a46c42076b;19.51011657714844;2023-01-04 15:35:53;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'mfc42.dll', 'iphlpapi.dll', 'msvcrt.dll', 'kernel32.dll', 'shlwapi.dll', 'shell32.dll', 'ws2_32.dll', 'user32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;1305;6406;52;234;0.0;11.0;False
nitol;00f3dd23a58afe46b6a2c37339e30631;17.639596939086914;2023-01-04 15:36:11;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'iphlpapi.dll', 'mfc42.dll', 'msvcrt.dll', 'kernel32.dll', 'shlwapi.dll', 'shell32.dll', 'ws2_32.dll', 'user32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;1305;6406;52;234;0.0;11.0;False
nitol;a0070911ecd181feb3dc20ce0f54e9a0;17.28712749481201;2023-01-04 15:36:28;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""GetStartupInfoA"": 1, ""GetModuleHandleA"": 1, ""LoadLibraryA"": 3, ""GetProcAddress"": 3, ""RegOpenKeyExA"": 1, ""RegCloseKey"": 1, ""StartServiceCtrlDispatcherA"": 1}";;{'iphlpapi.dll', 'mfc42.dll', 'msvcrt.dll', 'kernel32.dll', 'shlwapi.dll', 'shell32.dll', 'ws2_32.dll', 'user32.dll', 'advapi32.dll'};windows;X86;4208966;4194304/4239127;False;;1305;6406;52;234;0.0;11.0;False
Gh0stRAT;5e2420dde8d9ac32f13dac5ba27d333248009d5576f13ebcbdd95966be3cfd70.exe;326.1193735599518;2023-01-04 15:41:54;{};;{'ole32.dll', 'oleaut32.dll', 'msvcrt.dll', 'avicap32.dll', 'kernel32.dll', 'netapi32.dll'};windows;X86;4347553;4194304/4420275;False;;0;0;4;15;0.0;0.0;False
Gh0stRAT;5d92d55400ab9e837ce7192a3d899ba39efe3dbe1164ae339f06173aff5e2c39.exe;315.7709188461304;2023-01-04 15:47:10;"{""__p__fmode"": 1, ""__p__commode"": 1, ""_controlfp"": 1, ""__getmainargs"": 1, ""ordinal.1168.b'mfc42.dll'"": 1, ""_setmbcp"": 1, ""ordinal.561.b'mfc42.dll'"": 1}";;{'mfc42.dll', 'msvcrt.dll', 'kernel32.dll', 'shell32.dll', 'user32.dll'};windows;X86;4202832;4194304/4537091;False;;513;1920;1997;195120;0.0;7.0;False
Gh0stRAT;6a91e1c6fc3578d9b03fd20dcea02db6cda85d1429003058444a172452fd45dd.exe;28.75371670722961;2023-01-04 15:47:39;{};;{'ole32.dll', 'oleaut32.dll', 'msvcrt.dll', 'kernel32.dll', 'msvfw32.dll', 'user32.dll', 'advapi32.dll'};windows;X86;268534980;268435456/268594389;False;;6377;34772;0;0;0.0;0.0;True
Gh0stRAT;5a9f06e3346cb716c79bdfaf347944539fccaeb2e503b6b5d434e47c458c6618.exe;102.4747474193573;2023-01-04 15:49:21;"{""GetVersion"": 1, ""HeapCreate"": 1, ""GetVersionExA"": 1, ""GetEnvironmentVariableA"": 2, ""GetModuleFileNameA"": 4, ""GetModuleHandleA"": 6, ""HeapAlloc"": 13, ""InitializeCriticalSection"": 17, ""TlsAlloc"": 4, ""EnterCriticalSection"": 20, ""VirtualAlloc"": 8, ""LeaveCriticalSection"": 20, ""TlsSetValue"": 4, ""GetCurrentThreadId"": 4, ""GetStartupInfoA"": 5, ""GetStdHandle"": 8, ""GetFileType"": 8, ""SetHandleCount"": 1, ""GetCommandLineA"": 1, ""GetEnvironmentStringsW"": 1, ""WideCharToMultiByte"": 2, ""FreeEnvironmentStringsW"": 1, ""GetACP"": 1, ""GetCPInfo"": 2, ""GetProcAddress"": 7, ""IsProcessorFeaturePresent"": 1, ""SetUnhandledExceptionFilter"": 1, ""GetTickCount"": 1, ""LoadLibraryA"": 6, ""InterlockedExchange"": 2, ""LocalAlloc"": 2, ""RegOpenKeyExA"": 2, ""CreateThread"": 1, ""Sleep"": 1, ""GetLocalTime"": 1, ""wsprintfA"": 1}";;{'user32.dll', 'advapi32.dll', 'kernel32.dll'};windows;X86;4287958;4194304/4380371;False;;9059;44747;752;28486;0.0;36.0;False
